,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Change
37,78735,Austin,Travis County,0.7,-27.8,-29.7,-12.8,0.2,-2.2,-2.2,5.8,0.4,9.1,4.6,-4.3,-4.2,-1.5,0.9,9.3,11.5,8.7,2.2,6.1,0.2,7.0,-17.99999999999999
38,78751,Austin,Travis County,10.9,19.8,33.6,28.2,3.2,-0.2,-8.7,12.1,5.8,2.6,4.5,-0.5,-3.4,-1.2,-0.2,1.2,6.5,9.6,13.7,4.8,5.7,9.1,157.09999999999997
39,78754,Austin,Travis County,0.3,0.2,5.2,3.1,2.8,0.5,-1.1,5.9,3.2,2.0,11.7,-5.6,-1.3,-0.8,-9.9,6.3,6.4,7.9,6.1,14.1,4.0,6.1,67.1
40,78621,Elgin,Bastrop County,4.0,3.2,7.8,10.5,3.5,1.8,3.1,-1.2,4.5,-5.7,9.4,-5.2,-1.8,0.8,-3.9,0.9,-0.3,11.6,10.2,9.5,11.2,12.9,86.8
41,78752,Austin,Travis County,6.8,12.3,20.1,20.8,3.0,-5.5,4.1,-1.7,4.9,6.3,10.4,-1.3,3.7,-4.0,-1.9,2.5,7.7,7.2,17.6,23.0,-2.5,10.5,144.0
42,78653,Manor,Travis County,4.7,1.9,5.8,1.6,4.1,-4.0,1.4,9.8,1.5,6.4,2.6,-7.6,-3.6,-2.6,-2.8,2.4,6.9,4.7,10.6,10.8,6.4,6.1,67.1
43,78620,Dripping Springs,Hays County,3.2,2.4,2.4,0.7,0.4,2.7,-5.3,11.6,5.8,6.0,5.2,-3.5,-1.5,-3.4,-0.6,1.6,7.3,8.7,12.0,7.6,6.8,5.6,75.7
44,76574,Taylor,Williamson County,2.4,3.7,4.0,6.1,-1.2,2.4,20.2,5.8,-17.9,1.9,0.4,1.9,3.7,-4.3,-8.0,6.2,6.1,10.0,5.9,20.2,6.2,8.3,83.99999999999999
45,78724,Austin,Travis County,2.7,2.4,2.1,1.3,2.2,5.6,1.2,7.0,-3.3,4.9,9.2,-4.8,-3.1,-0.2,-5.6,-3.6,7.4,7.5,11.9,22.6,5.5,11.6,84.49999999999999
46,78644,Lockhart,Caldwell County,9.3,19.8,14.7,4.5,4.7,4.2,1.4,-0.6,6.4,6.0,1.1,-0.9,-2.0,0.4,0.0,1.1,4.8,5.1,4.9,7.0,9.9,9.9,111.7
47,78676,Wimberley,Hays County,-0.8,1.9,5.7,2.9,2.7,-1.9,-3.5,8.0,11.5,1.1,6.2,-5.7,-6.5,7.4,-2.6,2.8,4.2,4.5,13.2,18.8,2.5,10.4,82.80000000000001
48,78617,Austin,Travis County,-5.6,-1.2,6.3,4.8,0.4,5.3,-3.0,7.7,1.5,2.6,4.0,-4.2,-4.5,-3.6,-4.1,4.0,2.9,12.0,7.9,15.1,4.9,7.9,61.1
49,78747,Austin,Travis County,-13.0,-10.1,5.2,5.1,2.8,-1.6,-0.1,6.8,-0.1,4.2,5.0,-1.3,-4.6,-0.1,-1.7,3.3,4.4,10.2,7.2,9.2,7.5,7.8,46.099999999999994
50,78737,Austin,Travis County,-0.1,2.6,5.0,1.0,0.5,0.1,-0.3,11.7,2.0,7.6,1.4,-4.3,-7.9,1.6,0.5,3.5,6.7,8.1,6.9,6.9,5.2,6.2,64.89999999999999
51,78739,Austin,Travis County,2.8,-6.3,-10.1,-4.3,4.1,-1.3,-0.6,1.8,1.1,2.1,5.2,-2.3,-3.3,-1.6,1.6,4.4,13.7,6.3,4.8,4.6,3.9,4.1,30.700000000000003
52,78726,Austin,Travis County,-3.3,-7.6,-7.4,-0.4,-1.2,-5.3,0.8,3.6,5.1,4.2,7.6,-4.5,-5.2,-2.5,4.1,4.6,5.1,14.9,3.4,4.7,1.5,4.9,27.1
53,78701,Austin,Travis County,11.0,14.2,16.2,7.1,-3.8,-0.4,-2.7,10.3,1.4,3.5,9.8,-7.1,-5.9,-1.3,4.0,2.0,6.1,17.8,8.1,-1.0,10.9,4.3,104.5
54,78732,Austin,Travis County,-12.6,-2.1,2.6,1.2,0.6,-0.0,-1.1,10.0,10.2,6.1,6.8,-8.3,-6.3,1.4,2.8,2.1,5.6,9.4,1.0,3.9,1.4,4.9,39.599999999999994
55,78645,Lago Vista,Travis County,-2.9,1.3,6.7,3.4,2.0,-2.9,0.2,5.9,5.1,13.4,2.4,-4.3,-3.1,1.9,-5.2,-1.3,5.6,4.9,7.9,10.8,9.5,9.0,70.29999999999998
56,78642,Liberty Hill,Williamson County,5.1,3.6,-0.6,3.3,0.6,-3.4,-10.6,10.2,4.1,10.1,6.1,-2.9,-3.3,0.0,3.9,0.6,4.1,11.4,6.2,6.8,8.9,9.4,73.60000000000001
57,78669,Spicewood,Travis County,5.6,3.4,5.2,1.2,1.3,4.8,-0.7,6.6,10.7,6.5,3.9,-5.0,-4.8,-2.1,-0.4,3.6,0.0,8.2,2.1,9.3,3.8,18.1,81.30000000000001
58,78612,Cedar Creek,Bastrop County,4.9,9.5,8.9,4.7,8.4,8.3,1.5,1.4,5.0,0.1,3.7,-1.8,0.9,1.6,1.0,-1.0,2.4,3.5,15.9,9.4,12.5,19.6,120.4
59,78756,Austin,Travis County,-3.4,8.1,23.1,11.1,1.4,-2.2,-9.1,20.5,-0.8,2.8,6.9,-4.7,-2.1,-1.2,0.4,5.1,9.7,12.7,5.2,5.5,2.4,7.9,99.3
60,78957,Smithville,Bastrop County,3.8,12.0,14.6,9.4,6.2,5.6,-2.2,0.6,8.3,1.9,0.9,-1.7,1.5,2.6,-0.7,-0.6,6.8,14.7,-0.5,15.5,14.4,21.8,134.9
61,78721,Austin,Travis County,17.5,14.9,15.8,13.9,2.4,-0.2,-3.2,7.6,8.5,2.3,0.2,-0.4,-2.4,4.2,1.8,-2.6,17.9,13.8,12.7,23.6,10.9,5.6,164.79999999999998
62,78730,Austin,Travis County,1.2,-0.1,1.5,3.8,-1.0,-4.5,-2.3,4.8,6.9,6.8,1.0,-6.1,-4.7,-2.2,-0.1,3.3,2.1,8.2,5.9,10.0,0.8,10.2,45.5
63,78736,Austin,Travis County,-1.7,-1.6,3.7,1.9,-0.8,-1.3,-1.8,4.5,7.0,5.6,6.1,-3.5,0.6,-4.2,-6.0,15.9,0.3,16.5,5.6,16.6,-1.2,21.1,83.30000000000001
64,78648,Luling,Caldwell County,20.7,10.8,5.7,13.9,10.6,6.5,2.7,35.4,-8.8,9.7,2.5,-1.5,0.1,-1.5,-0.6,3.1,5.8,6.1,8.7,6.0,7.2,16.6,159.7
65,78733,Austin,Travis County,2.0,0.9,1.1,0.4,-0.0,-6.1,-3.7,12.9,6.1,4.6,2.4,-7.4,-4.8,-0.0,1.9,3.8,5.5,3.6,2.9,10.2,4.3,12.2,52.8
66,78722,Austin,Travis County,19.6,33.3,40.3,26.0,1.6,-8.8,14.0,-5.1,8.5,10.0,4.9,-3.9,-2.3,0.1,1.0,2.4,11.3,11.4,8.4,5.6,5.2,6.4,189.89999999999998
67,78725,Austin,Travis County,1.8,3.0,2.5,1.3,2.7,1.2,0.5,7.5,-0.3,2.9,-1.5,-3.2,0.0,-0.4,-6.5,0.5,5.8,8.8,14.5,12.6,6.4,6.3,66.4
68,78616,Cedar Creek,Bastrop County,,,,,,,,-1.5,15.3,5.8,-7.1,-5.8,-6.1,1.1,-1.0,2.4,4.3,12.4,12.3,2.9,11.5,29.4,
69,78652,San Leanna,Travis County,0.3,2.2,4.1,5.2,2.8,1.6,-3.7,1.8,14.4,-6.2,10.4,-1.0,-4.0,5.9,-5.6,3.8,6.2,12.6,9.4,17.8,1.9,6.1,86.0
70,78619,Driftwood,Hays County,-1.4,-1.2,3.2,2.2,1.4,-0.4,-1.4,13.7,9.7,3.1,10.3,-10.0,-5.2,6.4,-17.0,15.4,6.8,4.2,10.7,3.2,1.7,10.7,66.10000000000001
71,78659,Paige,Bastrop County,13.9,6.5,4.4,6.7,3.3,3.2,-7.8,14.2,5.6,14.2,-4.4,3.8,1.7,-1.7,1.6,-0.6,2.8,11.9,23.3,-1.4,14.0,21.1,136.29999999999998
72,76530,Granger,Williamson County,,,,,,,,,-43.6,-23.1,16.5,6.7,-12.0,-7.3,17.5,-1.0,-6.6,15.2,6.1,25.0,-3.6,22.9,
73,78655,Martindale,Caldwell County,15.6,11.7,4.3,6.4,5.8,9.5,1.6,1.7,10.8,4.1,4.8,-1.5,-3.6,1.0,-1.3,-3.2,8.6,7.8,7.0,6.4,18.1,6.6,122.19999999999999
