,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
36,78738,Bee Cave,Travis County,315041.67,326162.5,333294.44,340097.92,345536.67,345911.11,347439.29,353740.62,361872.22,371284.17,381824.24,388780.56,391632.05,392602.38,393006.67,394086.46,396531.37,399975.93,403696.49,407326.25,410821.43,415551.89
37,78735,Austin,Travis County,683075.0,636858.33,559547.22,497929.17,458676.67,432294.44,411932.14,398263.54,387961.11,381457.5,378121.21,375431.25,371698.08,368060.71,364634.44,362669.79,363291.67,365702.31,369179.39,373470.42,377623.41,382365.53
38,78751,Austin,Travis County,114125.0,124404.17,139008.33,160972.92,180076.67,192609.72,200016.67,206321.88,213612.96,220499.17,226766.67,232795.14,237324.36,240626.19,243661.67,246007.81,249067.16,252773.61,258535.96,265399.58,272266.67,279962.88
39,78754,Austin,Travis County,133083.33,132695.83,134147.22,136222.92,138361.67,140106.94,141419.05,142618.75,144704.63,146562.5,149021.21,151444.44,152994.87,154327.38,154807.78,154947.92,155718.14,157104.63,158971.05,161655.83,165078.57,168676.89
40,78621,Elgin,Bastrop County,87350.0,88650.0,90527.78,94079.17,97483.33,100045.83,102425.0,104321.88,106077.78,107602.5,108598.48,109796.53,110341.03,110903.57,111208.33,111364.58,111510.29,112120.37,113278.07,115032.08,117398.81,120329.55
41,78752,Austin,Travis County,88966.67,93829.17,100441.67,110322.92,119270.0,124581.94,128179.76,131212.5,133854.63,136608.33,140368.18,144008.33,147159.62,150091.67,151844.44,153619.27,155852.94,158631.48,162318.42,168063.33,174839.29,180977.65
42,78653,Manor,Travis County,111983.33,113520.83,116072.22,118206.25,120350.0,121622.22,122358.33,123804.17,125921.3,127820.83,130303.79,131838.19,132475.64,132689.29,132725.56,132582.81,133012.75,133803.24,135073.68,137208.33,139737.7,142519.32
43,78620,Dripping Springs,Hays County,217291.67,221187.5,223400.0,226177.08,227435.0,229466.67,228623.81,230547.92,234037.04,238643.33,243422.73,248008.33,250614.1,252570.83,254146.67,255690.62,257525.0,260495.83,264591.67,270367.92,276838.1,284300.76
44,76574,Taylor,Williamson County,88058.33,89420.83,91122.22,93158.33,94890.0,95995.83,98071.43,102582.29,104175.0,104684.17,105165.15,105631.94,106264.74,106841.67,106847.78,106776.56,107119.61,107849.07,109096.49,111104.17,113822.62,116772.35
45,78724,Austin,Travis County,94916.67,96295.83,97436.11,98481.25,99358.33,100663.89,102014.29,103875.0,105412.04,106565.0,108517.42,110231.94,111165.38,111975.0,112418.33,112390.62,112513.73,113011.57,114273.25,116680.42,119683.73,123138.26
46,78644,Lockhart,Caldwell County,57200.0,61304.17,66955.56,71312.5,74636.67,77552.78,79966.67,81429.17,83405.56,85405.83,87423.48,89043.75,90293.59,91317.26,92184.44,92981.77,93864.22,95004.17,96321.93,97872.92,99840.48,102118.18
